word,frequency,depth_score,safety_score
which,810514085,3.6006273204455255,0.050382452763284534
there,701170205,3.335963520598464,0.03795536327982857
their,782849411,3.202693792973533,0.031698097911452054
about,1226734006,3.438536518251188,0.03643687538241893
would,572644147,3.4461816623642654,0.03467514124293785
these,541003982,3.379413474240423,0.045146772419499694
other,978481319,3.290635838150289,0.03281221411291142
words,90910143,3.3491164171050856,0.03471728351780438
could,302311431,3.3737835935235414,0.0296735308890005
write,126645151,3.250553772901356,0.031818409580598284
first,578161543,3.3173147010433803,0.030772180898842386
water,215178488,3.240628265750618,0.030369002949615746
after,372948094,3.293175978116711,0.028839380949505927
where,360468339,3.441969420380082,0.046320895221994125
right,273620358,3.3702862005271568,0.03169212218649518
think,217856550,3.387367985090081,0.031012029577309346
three,223417394,3.3175532304090143,0.04001725919905275
years,337841309,3.2844187704436805,0.04121265731172852
place,220970235,3.3156753407682777,0.02813042561946148
sound,100010833,3.32801642778619,0.034128359494736
great,301487430,3.2463442884030695,0.0284049233860839
again,150781416,3.5567360592449218,0.047006576309246935
still,190433487,3.396497843705077,0.037198993049635434
every,189325890,3.6359040527963447,0.051568314726209465
small,208371878,3.487263036258966,0.03628757173241302
found,232005894,3.4576627157413182,0.0346087445296503
those,270014141,3.202411875775879,0.03700913173201531
never,149556758,3.53551637279597,0.045003508068557685
under,313296421,3.3697314619250256,0.03431195241540069
might,123196001,3.4389191314966987,0.03173569288427044
while,226194991,3.335659019671141,0.036636871620469295
house,231310420,3.299398104715022,0.04782599967881805
world,431934249,3.3862643576786993,0.029348077872113285
below,145701629,3.4682929858516443,0.03164087556125721
asked,75532722,3.393030524012918,0.03877350744026757
going,155284081,3.565484972389664,0.04853960073395967
large,165863763,3.2844375867282483,0.03199743378977125
until,113090086,3.342626847163377,0.030613267084727426
along,83444756,3.3786853227789893,0.03101155548434903
shall,191963867,3.4339989952273298,0.04152162354664286
being,242783091,3.4566916025927816,0.03514566225630936
often,92551460,3.3795881641138084,0.03157019661261406
earth,61059905,3.2231602848591185,0.029965059119169427
began,38269468,3.439033472630229,0.032640236946907084
since,214302926,3.285920330382991,0.03276862241313555
study,152978354,3.453654616797462,0.039714592081132816
night,130531484,3.4168168168168167,0.03219987372598539
light,126699632,3.3859136006614303,0.03034432997955666
above,141894620,3.50868208286205,0.042949212681293786
